Stream,Lat,Long,Year_collect,Type
Ocqueoc,45.488023,-84.076218,2018,Barrier
Black Mallard,45.545763,-84.140015,2018,Barrier
Black Mallard,45.536821,-84.129673,2017,Barrier
Cheboygan,45.656011,-84.465499,2018,Barrier
Middle,46.689625,-91.827215,2017,Year1
Bad,46.636334,-90.652664,2019,Year1
Betsy,47.297248,-88.057082,2019,Year1
Brule,46.74687,-91.609477,2019,Year1
Middle,46.689625,-91.827215,2019,Year1
Misery,46.996607,-88.981106,2019,Year1
Tahquamenon,46.555398,-85.0397,2019,Year1
Betsie,44.610338,-86.212058,2019,Year1
Big Manistee,44.249908,-86.342163,2019,Year1
Boardman,44.76488,-85.612793,2019,Year1
Peshtigo,44.993628,-87.67571,2019,Year1
Manistique,45.949236,-86.246051,2019,Year1
East Au Gres,44.030951,-83.685869,2019,Year1
Ocqueoc,45.488023,-84.076218,2019,Year1
Cattaraugus,42.567512,-79.133603,2019,Year1
Grand,41.758771,-81.28034,2019,Year1
Black,43.999284,-76.059194,2019,Year1
Sterling,43.336492,-76.694848,2019,Year1